COUNTY,CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,PROJECT ELEMENTS (CODE),PROJECT FUNDING (CODE),YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS - FACT SHEETS",Unnamed: 13,Unnamed: 14,LON,LAT
Chittenden,Essex Junction,58 Lincoln St; Essex Junction; VT 05452,Lincoln & North streets,Rapid flashing beacon  at crosswalk,1.0,Beacon,,2023,,,,,,,-73.1121788,44.4956575
Chittenden,Essex Junction,66 Main St; Essex Junction; VT 05452,Main & Pleasant streets,Rapid flashing beacon  at crosswalk,1.0,Beacon,,2021,,,Essex Jct Bike Walk Advisory Committee,,,,-73.1065813,44.4935926
Chittenden,Hinesburg,10042-10206 Rte 116; Hinesburg; VT 05461,VT Rt. 116 from Commerce St to Riggs Rd,Village North sidewalk from Commerce St to Riggs Road,1.0,Sidewalk,BP,2019,,,,,,,,
Chittenden,Hinesburg,10888 Rte 116; Hinesburg; VT 05461,VT Rt. 116 from Hinesburg Community School to Friendship Lane,Installation of new Village South sidewalk,1.0,Sidewalk,BP,2023,,BP 2016,VTrans; Town of Hinesburg,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=16F157,,,-73.1079431,44.3260305
Chittenden,Hinesburg,"87 Kelleys Field Rd; Hinesburg; VT 05461
","87 Kelleys Field Rd; Hinesburg; VT 05461
",Rapid flashing beacon at crosswalk on Rt 117 by Kelley's Field; affordable living community for older adults,1.0,Beacon,AARP,2023,,AARP Community Challenge Grant,Cathedral Square,,,,-73.1087693,44.3308911
Chittenden,Jericho,275 Browns Trce; Jericho; VT 05465,Browns Trace from Pratt Road to Lee River Road,Multi-modal path,3.0,Multi-use,BP,2021,,BP,,,,,-72.9675203,44.4776147
Chittenden,Milton,42-28 Cherry St; Milton; VT 05468,Cherry St,New sidewalk. Part of a years-long effort to improve sidewalk connectivity in Milton,1.0,Sidewalk,BP,2021,,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,,,,-73.1106778,44.6365772
Chittenden,Milton,47 Bombardier Rd; Milton; VT 05468,Bombardier Road from Middle Road to Town Fire Station,New sidewalk. Part of a years-long effort to improve sidewalk connectivity in Milton,1.0,Sidewalk,,2022,,,Town of Milton,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,,-73.1231304,44.618646
Chittenden,Milton,51-1 Middle Rd; Colchester; VT 05446,Bombadier; Herrick; Middle; Centre sidewalks ,Crosswalk safety improvements; inc ADA detectable warning strips & new striping,1.0,Crosswalk,,2021,,Some state funding,Town of Milton,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,,-73.1565862,44.5512743
Chittenden,Milton,11 Haydenberry Dr; Milton; VT 05468,Haydenberry Drive; from Laundromat Dr to Strawberry lane,Shared use path. Part of a years-long effort to improve sidewalk connectivity in Milton,,Multi-use,,,,,,,,,-73.123443,44.6232886
Chittenden,Milton,104-92 Main St; Milton; VT 05468,Main St from Railroad St to East Road,Gravel Path from Railroad St to East Road. Part of a years-long effort to improve sidewalk connectivity in Milton,1.0,Sidewalk,,2020,,,Town of Milton,,,,-73.1030749,44.6387029
Chittenden,Milton,22-4 McMullen Rd; Milton; VT 05468,McMullen Road,Sidewalk improvement. Part of a years-long effort to improve sidewalk connectivity in Milton,1.0,Sidewalk,BP,,,BP 2013,Town of Milton,https://www.dlhce.com/project-experience-municipal-engineering,,,-73.1109917,44.6140174
Chittenden,Milton,470 US-7; Milton; VT 05468,US7 Nancy Drive to Haydenberry Drive,Sidewalk Gaps Project: 2 miles of sidewalk filling in gaps in town's previous sidewalk infrastructure,1.0,Sidewalk,BP,2020,,,Town of Milton,,,,-73.1415397,44.6272891
Chittenden,Shelburne,5420 Shelburne Rd; Shelburne; VT 05482,US7; from town office to Church Street,Rapid flashing beacon at crosswalk; spearheaded by Eagle Scout,1.0,Beacon,,2019,,,,,,,-73.2283441,44.3788492
Chittenden,Shelburne,209 Marsett Rd; Shelburne; VT 05482,intersection of Marsett Rd & Maplewood Dr,New crosswalk. One of a number of pedestrian improvements led by community members around Shelburne Village,1.0,Crosswalk,,2020,,,Shelburne Village Pedestrian Safety Group,https://www.localmotion.org/projects_shelburne_village_pedestrian_safety_group,,,-73.2276009,44.3700331
Chittenden,South Burlington,200 Allen Rd; South Burlington; VT 05403,Allen Road between Baycrest Dr & Spear St,800' of 10'-wide paved shared use path; closing gap in path network; inc bike boxes at Spear St traffic light,3.0,Multi-use,Penny For Paths,2021,,,South Burlington Bike/Ped Committee; South Burlington Penny for Paths initiative,https://www.southburlingtonvt.gov/residents/upper_allen_road_shared_use_path.php,,,-73.1982025,44.4211904
Chittenden,South Burlington,1600 Marshall Ave; Williston; VT 05495,Kimball/Marshall Avenue over Muddy Brook,Bridge & culvert replacement project; including rec path for pedestrians & bikes,3.0,Rec path; multi-use,TAP,2021,,TAP 2020,,https://sburlstormwater.com/muddy-brook-culvert-replacement/,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20F200,,-73.136792,44.452855
Chittenden,South Burlington,25-73 Kennedy Dr; South Burlington; VT 05403,Kennedy Dr at Twin Oaks Terrace,Crosswalk improvements; inc flashing beacons,1.0,Beacon; Crosswalk,BP; Penny For Paths,2023,,BP 2021; Penny For Paths,South Burlington Bike/Ped Committee,,,,-73.178083,44.4529649
Chittenden,South Burlington,258 Market St; South Burlington; VT 05403,"Market Street between Dorset St and Hinesburg Rd
",Route redesign to travel along Market St and schedule adjustments to provide 20 min or better frequencies inbound and outbound between South Burlington City Center and the DTC in Burlington. ,,Transit,,2025,,,GMT,https://ridegmt.com/public-hearings/,,,-73.1783894,44.4659356
Chittenden,South Burlington,113 Patchen Rd; South Burlington; VT 05403,Patchen Road at Jaycee Park,New crosswalk with flashing beacons,,Crosswalk; Beacon,Penny For Paths,2024,,Penny for Paths,South Burlington Public works,,,,-73.1719304,44.4693514
Chittenden,South Burlington,10 Spear St; South Burlington; VT 05403,Spear Street at East Terrace/US 2 Jughandle,Replace unsafe sidewalk with 5-foot wide concrete sidewalk connecting pedestrians more safely across the Jug Handle. It will include the installation of bollard lighting; narrowing of the ramp to East Terrace for traffic calming; alignment of crosswalks; movement of an existing catch basin; and the replacement of 5 trees.,,Sidewalk; Crosswalk,Penny For Paths,2020,,Penny for Paths,South Burlington; Pennies for Paths,,,,-73.1923127,44.4716556
Chittenden,South Burlington,1250 Spear St; South Burlington; VT 05403,Spear Street from Swift Street to Allen Road,Restriping of Spear Street to narrow travel lanes to 10' making room for bike lanes on both sides of the road.,,Bike Lane,Penny For Paths,2023,,Penny for Paths,South Burlington Public works,,,,-73.1881931,44.4445629
Chittenden,South Burlington,5 Pine Tree Terrace; South Burlington; VT 05403,Williston Rd at Pine Tree Terrace/Davis Parkway & between Victory Dr & Mills Ave,2 new crosswalks with pedestrian refuges & flashing beacons,1.0,Crosswalk; Beacon,BP; Penny For Paths,2023,,BP 2021; Penny for Paths,South Burlington; Pennies for Paths,https://www.southburlingtonvt.gov/residents/williston_road_crosswalks.php,,,-73.1680068,44.4665835
Chittenden,Underhill,451 VT-15; Underhill; VT 05489,VT Rt 15 from Dumas Rd to Park St,Sidewalk,1.0,Sidewalk,BP,2021,,BP 2013 + 2021,Town of Underhill,,,,-72.9451525,44.5323687
Chittenden,Williston,173-157 Blair Park Rd; Williston; VT 05495,Blair Park Road,New sidewalk; creating a loop that connects senior housing with post office & bus stop on Rt 2,1.0,Sidewalk,BP,2021,,BP 2017,Town of Williston,,,,-73.1148613,44.4528161
Chittenden,Williston,281 Holland Ln; Williston; VT 05495,Holland Lane from Kettlepond Lane to Williston Rd; Market Street from Holland Lane to Zephyr Rd; Stillwater Lane from Holland Lane to Zephyr Rd; Maple Tree Place Rd east to end of Cottonwood Crossing development; along south side of Williston Rd from MD Motors to U Haul.,New sidewalks establishing new pedestrian connections along Williston Road; Holland Lane; and in other places,,Sidewalk,Developer,Since 2019,,Developer funded and built,VTrans for sidewalks on State highways; private developers; Town of Williston Department of Public Works; Planning and Zoning; Development Review Board,,,,-73.1072079,44.4496212
Chittenden,Williston,35 Industrial Ave; Williston; VT 05495,Intersection Rt 2 & Industrial Ave,Intersection reconstruction; inc new sidewalk and curb on south side of Rt 2,1.0,Sidewalk,,2023,,,VTrans,https://vtrans.vermont.gov/projects/williston-intersection,,,-73.13031,44.4589003
Franklin,St. Albans City,40 Kingman St.; St Albans City; VT 05478,Kingman St,Expanded sidewalk areas; enhanced crosswalks & ADA features. Fourth & final phase of a 10-yr downtown revitalization effort ,1.0,Sidewalk; crosswalk,DTF; TAP,2022,,,City of St. Albans,https://www.stalbansvt.com/streetscape,,,-73.0848114,44.8121498
Lamoille,Hyde Park-Morrisville-Elmore,344 VT-15; Hyde Park; VT 05655,Hyde Park-Morrisville-Elmore region,The Hymor microtransit rideshare service allowing residents to schedule rides. Operated by Rural Community Transportation; supported by VTrans grant,4.0,Transit,MTI,2023,,,Rural Community Transportation,https://www.riderct.org/rct-microtransit,,,-72.6226139,44.5984921
Lamoille,Stowe,137 Main St; Stowe; VT 05672,Main St/ Rt 100,Sidewalk improvement,1.0,Sidewalk,,2019,,,,,,,-72.6846447,44.4656466
Orleans,Newport,386 Prouty Beach Rd; Newport; VT 05855,Bluffside Farm ,"1-mile ADA rec path; inc bridge crossing Scott's Cove. The trail helps connects downtown Newport with North Country Hospital; via pre-existing trails. After this connection opened; North Country Hospital became first VT hospital to be recognized as a ""Bike Friendly Businesss."" ",2.0,rec trail; multi-use,AARP,2021,$1.4 million,Many federal and state funding sources alongside local and community support,,https://bikeleague.org/wp-content/uploads/2024/05/BFB_Full_List_through_Spring-2024-1.pdf,https://livablemap.aarp.org/challenge-grantee/city-newport-2019,,-72.2084441,44.9472052
Orleans,Newport/Derby,222 Main St; Newport; VT 05855,Microtransit between Newport & Derby Line,Converting fixed route bus from Newport to Derby Line to an on-demand micro transit service,,Transit,,2024,,,Rural Community Transportation,https://www.riderct.org/rctrides/,,,-72.2108371,44.9356155
Orleans,Greensboro,29 East St; Greensboro; VT 05841,East St,Sidewalk,1.0,Sidewalk,BP,2021,,BP 2021,,,,,-72.295247,44.5761701
Rutland,Brandon,11 Center St; Brandon; VT 05733,US 7/Center St,New and improved sidewalks/pedestrian features as part of US Rt 7 upgrade. Part of a redesign of Brandon's downtown.,1.0,Sidewalk; repaving,TAP,2019,,,,,,,-73.0883445,43.7988545
Rutland,Brandon,48 Park St; Brandon; VT 05733,Park Street (VT Route 73),Bike lanes added to both sides of st; as part of $1.7M upgrade inc stormwater; bioswales; wastewater; water; road & curb replacement. Part of a redesign of Brandon's downtown.,2.0,Bike lane,,2020,one component in $1.7m project,,Town of Brandon; Brandon Fire District No. 1; VTrans; Clean Water SRF; Drinking Water SRF,,,,-73.0839284,43.7987781
Rutland,Brandon,4 Franklin St; Brandon; VT 05733,Brandon Free Library; 4 Franklin St,2 eBikes for lending by Library & 10 bike racks around Town,4.0,Bike share,,2023,$5;380,Town of Brandon budget; Vermont Council on Rural Development,Town of Brandon; Town of Brandon Energy Committee,https://brandonpubliclibrary.org/,,,-73.0855077,43.7980498
Rutland,Castleton,2194 Main St; Castleton; VT 05735,VT 30 & VT 4A intersection,Pedestrian improvements,1.0,Sidewalk,BP,2021,,,,,,,-73.2079226,43.6087424
Rutland,Rutland,40 N Main St; Rutland; VT 05701,US 7 & US 4 intersection,Road diet; reducing 4 lanes to 2 w/ central turn lane. Reconfiguration making more space for bike lanes. Project realized as part of repaving. Plans had been explored during previous repaving in 2014; now realized w/ local and state support,2.0,Bike lane; Repaving,Better Connections,2024,,,,https://vtrans.vermont.gov/sites/aot/files/planning/documents/scbc/Rutland-West-Rutland-Smart-Growth-Connection.pdf,,,-72.9723531,43.6096954
Rutland,Rutland,2 Oak St Ext; Rutland; VT 05701,East Creek Path; Giorgetti Park to Meadow Street Park,Multi-phase project adding to existing path: 1;200 feet of path Meadow Street Playground between the playground and River Street completed in 2019. Final section; inc bridge over East Creek; completed 2024,3.0,Multi-use,TAP; BP,2019,,,City of Rutland,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=21F082,,,,
Rutland,Rutland,160 Allen St; Rutland; VT 05701,Rutland Regional Medical Center,Flashing beacons at crosswalks ,1.0,Beacon,,,,,,,,,-72.9562921,43.5977388
Rutland,Rutland,1 Strongs Ave; Rutland; VT 05701,Strongs Avenue,Improved sidewalks; installation of green belt as part of street redesign. This is one of many recent projects in Rutland City that are improving sidewalk quality and filling gaps in pedestrian network,1.0,Sidewalk,BP; TAP,2023,,,City of Rutland,,,,-72.9778947,43.6051993
Rutland,Rutland Town,1612 Post Rd; Rutland; VT 05701,Rutland Town School,Extend Post Rd sidewalk from elementary school to Chasanna Dr,1.0,Sildewalk,BP,2024,,,,,,,-72.9628918,43.6386888
