"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/50005957400","","Census Tract 9574, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3657,"Total population"
"geoId/50005957500","","Census Tract 9575, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3724,"Total population"
"geoId/50005957600","","Census Tract 9576, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2259,"Total population"
"geoId/50005957700","","Census Tract 9577, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2950,"Total population"
"geoId/50005957800","","Census Tract 9578, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3006,"Total population"
"geoId/50005957900","","Census Tract 9579, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3134,"Total population"
"geoId/50007000100","","Census Tract 1, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4561,"Total population"
"geoId/50007000200","","Census Tract 2, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5811,"Total population"
"geoId/50007000300","","Census Tract 3, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4881,"Total population"
"geoId/50007000600","","Census Tract 6, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4791,"Total population"
"geoId/50007000800","","Census Tract 8, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2440,"Total population"
"geoId/50007000900","","Census Tract 9, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2627,"Total population"
"geoId/50007001000","","Census Tract 10, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2797,"Total population"
"geoId/50007001100","","Census Tract 11, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2218,"Total population"
"geoId/50007002101","","Census Tract 21.01, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2846,"Total population"
"geoId/50007002103","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4182,"Total population"
"geoId/50007002104","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3695,"Total population"
"geoId/50007002201","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3515,"Total population"
"geoId/50007002202","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4918,"Total population"
"geoId/50007002301","","Census Tract 23.01, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1369,"Total population"
"geoId/50007002303","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4929,"Total population"
"geoId/50007002304","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2839,"Total population"
"geoId/50007002400","","Census Tract 24, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3471,"Total population"
"geoId/50007002501","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2320,"Total population"
"geoId/50007002502","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2407,"Total population"
"geoId/50007002601","","Census Tract 26.01, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6208,"Total population"
"geoId/50007002602","","Census Tract 26.02, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4512,"Total population"
"geoId/50007002701","","Census Tract 27.01, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6213,"Total population"
"geoId/50007002702","","Census Tract 27.02, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5273,"Total population"
"geoId/50007002800","","Census Tract 28, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5097,"Total population"
"geoId/50007002900","","Census Tract 29, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6531,"Total population"
"geoId/50007003000","","Census Tract 30, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4148,"Total population"
"geoId/50007003101","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",8196,"Total population"
"geoId/50007003102","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1902,"Total population"
"geoId/50007003301","","Census Tract 33.01, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4913,"Total population"
"geoId/50007003304","","Census Tract 33.04, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6289,"Total population"
"geoId/50007003401","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5241,"Total population"
"geoId/50007003402","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2566,"Total population"
"geoId/50007003501","","Census Tract 35.01, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3905,"Total population"
"geoId/50007003502","","Census Tract 35.02, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5573,"Total population"
"geoId/50007003503","","Census Tract 35.03, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1838,"Total population"
"geoId/50007003600","","Census Tract 36, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5063,"Total population"
"geoId/50007003900","","Census Tract 39, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",8115,"Total population"
"geoId/50007004002","","Census Tract 40.02, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4223,"Total population"
"geoId/50007004100","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2373,"Total population"
"geoId/50007004200","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4035,"Total population"
"geoId/50007980000","","Census Tract 9800, Chittenden County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",0,"Total population"
"geoId/50009950100","","Census Tract 9501, Essex County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1654,"Total population"
"geoId/50009950200","","Census Tract 9502, Essex County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1030,"Total population"
"geoId/50009950500","","Census Tract 9505, Essex County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3288,"Total population"
"geoId/50011010101","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3510,"Total population"
"geoId/50011010102","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3891,"Total population"
"geoId/50011010200","","Census Tract 102, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4452,"Total population"
"geoId/50011010300","","Census Tract 103, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3499,"Total population"
"geoId/50011010400","","Census Tract 104, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3027,"Total population"
"geoId/50011010500","","Census Tract 105, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6792,"Total population"
"geoId/50011010600","","Census Tract 106, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",7036,"Total population"
"geoId/50011010700","","Census Tract 107, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3549,"Total population"
"geoId/50011010800","","Census Tract 108, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3361,"Total population"
"geoId/50011010900","","Census Tract 109, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4876,"Total population"
"geoId/50011011000","","Census Tract 110, Franklin County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6386,"Total population"
"geoId/50013020100","","Census Tract 201, Grand Isle County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3670,"Total population"
"geoId/50013020200","","Census Tract 202, Grand Isle County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3723,"Total population"
"geoId/50015953000","","Census Tract 9530, Lamoille County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2384,"Total population"
"geoId/50015953100","","Census Tract 9531, Lamoille County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3783,"Total population"
"geoId/50015953200","","Census Tract 9532, Lamoille County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3467,"Total population"
"geoId/50015953300","","Census Tract 9533, Lamoille County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3016,"Total population"
"geoId/50015953400","","Census Tract 9534, Lamoille County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2540,"Total population"
"geoId/50015953500","","Census Tract 9535, Lamoille County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5594,"Total population"
"geoId/50015953600","","Census Tract 9536, Lamoille County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5252,"Total population"
"geoId/50017959000","","Census Tract 9590, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2081,"Total population"
"geoId/50017959101","","Census Tract 9591.01, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2052,"Total population"
"geoId/50017959102","","Census Tract 9591.02, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2740,"Total population"
"geoId/50017959200","","Census Tract 9592, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3547,"Total population"
"geoId/50017959300","","Census Tract 9593, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2466,"Total population"
"geoId/50017959400","","Census Tract 9594, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4819,"Total population"
"geoId/50017959500","","Census Tract 9595, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4492,"Total population"
"geoId/50017959600","","Census Tract 9596, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2802,"Total population"
"geoId/50017959700","","Census Tract 9597, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1793,"Total population"
"geoId/50017959800","","Census Tract 9598, Orange County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2802,"Total population"
"geoId/50019951100","","Census Tract 9511, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2423,"Total population"
"geoId/50019951200","","Census Tract 9512, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2749,"Total population"
"geoId/50019951300","","Census Tract 9513, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1789,"Total population"
"geoId/50019951400","","Census Tract 9514, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2079,"Total population"
"geoId/50019951500","","Census Tract 9515, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2334,"Total population"
"geoId/50019951600","","Census Tract 9516, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4435,"Total population"
"geoId/50019951700","","Census Tract 9517, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4660,"Total population"
"geoId/50019951800","","Census Tract 9518, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2832,"Total population"
"geoId/50019951900","","Census Tract 9519, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2495,"Total population"
"geoId/50019952000","","Census Tract 9520, Orleans County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1696,"Total population"
"geoId/50021962100","","Census Tract 9621, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1804,"Total population"
"geoId/50021962200","","Census Tract 9622, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4121,"Total population"
"geoId/50021962300","","Census Tract 9623, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2541,"Total population"
"geoId/50021962400","","Census Tract 9624, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2890,"Total population"
"geoId/50021962500","","Census Tract 9625, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1792,"Total population"
"geoId/50021962600","","Census Tract 9626, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2275,"Total population"
"geoId/50021962700","","Census Tract 9627, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3923,"Total population"
"geoId/50021962800","","Census Tract 9628, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3067,"Total population"
"geoId/50021963000","","Census Tract 9630, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4151,"Total population"
"geoId/50021963100","","Census Tract 9631, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3342,"Total population"
"geoId/50021963200","","Census Tract 9632, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2676,"Total population"
"geoId/50021963300","","Census Tract 9633, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5578,"Total population"
"geoId/50021963400","","Census Tract 9634, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2557,"Total population"
"geoId/50021963500","","Census Tract 9635, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1969,"Total population"
"geoId/50021963600","","Census Tract 9636, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4457,"Total population"
"geoId/50021963700","","Census Tract 9637, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2729,"Total population"
"geoId/50021963800","","Census Tract 9638, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4042,"Total population"
"geoId/50021964000","","Census Tract 9640, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3832,"Total population"
"geoId/50021964200","","Census Tract 9642, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1404,"Total population"
"geoId/50021964300","","Census Tract 9643, Rutland County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1334,"Total population"
"geoId/50023954000","","Census Tract 9540, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4605,"Total population"
"geoId/50023954100","","Census Tract 9541, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2378,"Total population"
"geoId/50023954200","","Census Tract 9542, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2922,"Total population"
"geoId/50023954300","","Census Tract 9543, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5381,"Total population"
"geoId/50023954400","","Census Tract 9544, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3064,"Total population"
"geoId/50023954500","","Census Tract 9545, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2871,"Total population"
"geoId/50023954600","","Census Tract 9546, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2038,"Total population"
"geoId/50023954700","","Census Tract 9547, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1656,"Total population"
"geoId/50023954800","","Census Tract 9548, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2357,"Total population"
"geoId/50023954900","","Census Tract 9549, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1987,"Total population"
"geoId/50023955000","","Census Tract 9550, Washington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2610,"Total population"
